Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
1709_2021,89,516,10,97,6.8,17.272,POLE,2021,234.3015383346829,6
171_2021,10,620,10,531,6.7,17.018,POLE,2021,227.46098736686673,3
1710_2021,89,97,10,316,21.2,53.848,SAW,2021,2277.3460940557934,5
1711_2021,89,650,10,97,6.3,16.002,POLE,2021,201.11219845379682,6
1712_2021,89,517,10,97,6.3,16.002,POLE,2021,201.11219845379682,6
1713_2021,89,470,10,97,9,22.86,POLE,2021,410.4330580689732,6
1714_2021,89,518,10,97,7.5,19.05,POLE,2021,285.0229569923425,6
1715_2021,89,651,10,97,4.9,12.446000000000002,POLE,2021,121.66046573130923,6
1716_2021,89,519,10,97,5.4,13.716000000000001,POLE,2021,147.75590090483036,6
1717_2021,89,754,31,97,4.7,11.938,POLE,2021,111.93168213263726,6
1718_2021,89,520,10,97,6.9,17.526,POLE,2021,241.24343079831866,6
1719_2021,89,652,10,97,6.3,16.002,POLE,2021,201.11219845379682,6
172_2021,10,16,10,316,13.3,33.782000000000004,SAW,2021,896.314859775564,5
